datetime,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),Rainfall,Boiling Point,latitude,longitude
2019-09-17 09:00:00,15.0,30.0,8.8,25.8,20.9,43.7,8.1,0.84,75.7,85.0,1.8,269.0,474.0,27.2,0.0,700.0,23.2599,77.4126
2019-09-17 10:00:00,16.5,28.25,8.65,26.1,20.92,41.7,8.3,0.95,72.85,83.75,1.88,268.5,450.5,27.15,0.0,700.0,23.2599,77.4126
2019-09-17 11:00:00,19.5,26.75,9.45,28.02,22.6,36.85,8.95,1.16,70.83,81.0,2.2,193.75,490.0,27.67,0.0,700.0,23.2599,77.4126
2019-09-17 12:00:00,16.75,40.75,8.95,28.12,22.23,33.42,9.35,1.09,74.47,79.75,2.08,234.75,500.25,28.5,0.0,700.0,23.2599,77.4126
2019-09-17 13:00:00,23.5,52.5,9.67,28.88,23.2,31.7,9.43,1.17,54.3,82.5,1.82,253.0,418.0,28.6,0.0,700.0,23.2599,77.4126
2019-09-17 14:00:00,28.75,65.0,10.72,33.27,26.45,29.62,9.25,1.37,46.92,84.5,1.77,265.0,278.5,28.2,0.0,700.0,23.2599,77.4126
2019-09-17 15:00:00,32.25,73.0,10.55,33.15,26.2,31.15,11.02,1.39,47.7,84.0,1.95,201.0,190.0,28.1,0.0,700.0,23.2599,77.4126
2019-09-17 16:00:00,30.75,69.5,10.68,38.1,28.95,29.33,11.93,1.43,43.38,85.0,1.53,171.25,26.75,26.18,0.0,700.0,23.2599,77.4126
2019-09-17 17:00:00,17.25,43.25,14.65,53.25,40.23,24.67,12.5,1.81,26.3,88.75,0.92,127.5,27.5,25.62,0.05,700.0,23.2599,77.4126
2019-09-17 18:00:00,22.25,44.5,14.2,48.5,37.35,31.4,11.97,1.77,20.5,91.0,0.68,91.5,26.75,25.4,0.0,700.0,23.2599,77.4126
2019-09-17 19:00:00,19.75,30.75,20.55,54.12,45.5,31.02,11.18,2.15,13.88,91.0,0.7,233.25,28.0,25.42,0.0,700.0,23.2599,77.4126
2019-09-17 20:00:00,28.0,37.75,21.0,44.45,40.7,37.98,11.48,1.89,17.02,91.5,0.9,251.5,29.75,25.25,0.0,700.0,23.2599,77.4126
2019-09-17 21:00:00,27.0,34.25,17.23,46.47,38.72,42.35,11.88,1.91,13.55,91.75,0.53,235.0,26.5,25.22,0.0,700.0,23.2599,77.4126
2019-09-17 22:00:00,26.5,39.0,22.17,51.92,45.62,39.95,12.1,2.29,8.6,91.0,0.65,259.0,27.25,25.4,0.0,700.0,23.2599,77.4126
2019-09-17 23:00:00,33.75,50.5,17.62,59.48,45.95,41.52,12.63,2.44,9.77,91.0,0.9,152.75,27.75,25.37,0.0,700.0,23.2599,77.4126
2019-09-18 00:00:00,31.25,46.75,12.05,45.52,34.0,50.82,9.47,1.15,17.5,91.0,0.75,174.0,26.5,25.23,0.0,700.0,23.2599,77.4126
2019-09-18 01:00:00,23.25,38.75,9.98,34.98,26.72,55.65,8.45,0.85,22.4,91.0,0.97,269.25,25.5,25.18,0.0,700.0,23.2599,77.4126
2019-09-18 02:00:00,15.0,32.5,10.05,28.45,23.32,56.6,8.47,0.7,26.52,90.75,0.93,137.75,26.75,25.27,0.0,700.0,23.2599,77.4126
2019-09-18 03:00:00,14.75,25.75,9.93,23.05,20.32,58.12,8.43,0.56,27.92,91.0,0.97,199.75,27.0,25.12,0.0,700.0,23.2599,77.4126
2019-09-18 04:00:00,13.25,25.5,9.3,19.88,18.12,58.02,8.2,0.52,33.9,90.75,1.05,145.5,27.0,25.08,0.0,700.0,23.2599,77.4126
2019-09-18 05:00:00,10.5,20.75,10.93,25.17,22.23,53.97,8.47,0.64,26.48,91.0,1.12,196.25,27.75,25.0,0.0,700.0,23.2599,77.4126
2019-09-18 06:00:00,12.25,32.25,11.85,30.23,25.73,51.35,8.4,0.73,23.83,91.0,0.98,185.5,30.0,25.02,0.0,700.0,23.2599,77.4126
2019-09-18 07:00:00,22.0,42.75,14.35,32.97,29.23,49.03,8.45,0.89,27.3,89.25,1.23,110.5,197.5,25.7,0.0,700.0,23.2599,77.4126
2019-09-18 08:00:00,21.0,45.25,12.03,25.15,23.15,51.23,8.35,0.89,37.83,86.0,1.38,174.5,357.75,26.83,0.0,700.75,23.2599,77.4126
2019-09-18 09:00:00,18.5,48.5,12.25,26.92,24.27,48.48,8.55,1.09,36.32,84.0,1.18,156.25,374.75,27.75,0.0,701.0,23.2599,77.4126
2019-09-18 10:00:00,18.75,55.5,13.35,26.98,25.18,45.23,8.68,1.11,47.45,77.0,1.9,155.25,496.0,29.42,0.0,701.0,23.2599,77.4126
2019-09-18 11:00:00,17.0,55.0,14.7,30.85,28.35,39.27,9.2,1.28,37.1,80.5,1.57,149.25,226.5,28.57,4.5,701.0,23.2599,77.4126
2019-09-18 12:00:00,23.25,51.0,18.28,39.75,35.98,32.53,9.02,1.59,23.4,91.25,1.65,126.5,124.75,26.58,0.7,700.75,23.2599,77.4126
2019-09-18 13:00:00,22.5,30.0,19.82,40.3,37.58,32.1,8.93,1.51,24.82,89.0,1.2,137.75,101.25,26.88,0.05,700.0,23.2599,77.4126
2019-09-18 14:00:00,16.75,26.5,11.07,32.2,26.12,41.65,8.82,1.03,39.95,89.5,1.0,138.25,85.5,25.6,0.42,700.0,23.2599,77.4126
2019-09-18 15:00:00,14.5,19.25,12.75,40.7,32.05,38.27,8.62,1.27,32.8,91.75,1.1,116.75,81.5,25.23,0.7,700.0,23.2599,77.4126
2019-09-18 16:00:00,19.5,28.25,15.0,41.2,34.12,38.12,9.05,1.49,33.38,89.75,1.05,143.75,169.75,26.08,0.0,700.0,23.2599,77.4126
2019-09-18 17:00:00,20.25,26.25,18.9,45.77,39.7,35.32,9.15,1.88,22.97,88.75,1.1,139.25,54.0,26.43,0.0,700.0,23.2599,77.4126
2019-09-18 18:00:00,22.0,34.0,31.5,53.0,53.8,26.9,9.38,2.4,11.95,90.0,1.12,107.5,25.0,26.2,0.0,700.0,23.2599,77.4126
2019-09-18 19:00:00,31.75,51.5,23.92,57.1,49.82,33.1,9.03,2.27,7.45,91.0,0.5,61.75,24.25,26.08,0.0,700.25,23.2599,77.4126
2019-09-18 20:00:00,28.5,43.25,32.7,57.25,57.02,31.32,9.22,2.79,4.6,91.25,0.65,118.25,29.5,26.13,0.0,701.0,23.2599,77.4126
2019-09-18 21:00:00,35.75,48.0,23.45,49.18,45.23,42.75,8.98,2.21,7.1,92.0,0.68,136.25,26.25,25.9,0.0,701.5,23.2599,77.4126
2019-09-18 22:00:00,24.0,39.0,20.12,41.42,38.42,47.9,8.88,1.95,10.17,92.25,1.12,113.75,26.0,25.67,0.0,702.0,23.2599,77.4126
2019-09-18 23:00:00,18.0,30.0,12.2,22.85,22.05,57.95,8.8,1.07,25.5,92.25,0.75,144.75,24.75,25.42,0.0,701.5,23.2599,77.4126
2019-09-19 00:00:00,5.0,12.0,9.95,20.5,18.97,58.23,7.72,0.46,31.7,91.25,0.8,147.5,25.5,25.23,0.0,701.0,23.2599,77.4126
2019-09-19 01:00:00,5.75,12.0,9.38,17.8,17.1,58.22,7.6,0.42,33.33,91.75,0.68,133.25,26.25,25.08,0.0,701.0,23.2599,77.4126
2019-09-19 02:00:00,7.5,12.5,9.48,15.38,15.85,59.12,6.75,0.4,34.9,91.75,0.8,110.0,25.25,24.9,0.0,700.75,23.2599,77.4126
2019-09-19 03:00:00,5.5,13.0,9.0,14.47,15.0,58.85,6.85,0.4,33.85,92.0,0.73,120.5,24.75,24.7,0.0,700.0,23.2599,77.4126
2019-09-19 04:00:00,4.0,11.25,9.43,15.68,16.02,58.67,7.15,0.44,31.27,92.0,0.62,120.0,26.25,24.5,0.0,700.0,23.2599,77.4126
2019-09-19 05:00:00,4.5,14.75,9.12,16.82,16.38,58.6,6.58,0.47,29.12,92.5,0.68,137.0,25.5,24.52,0.0,700.75,23.2599,77.4126
2019-09-19 06:00:00,7.5,17.0,10.35,20.75,19.45,56.73,6.85,0.55,29.12,91.75,0.75,141.25,27.0,24.73,0.0,701.0,23.2599,77.4126
2019-09-19 07:00:00,13.5,29.5,11.25,24.07,21.95,54.83,7.2,0.65,28.2,90.75,0.65,123.5,41.25,25.15,0.0,702.0,23.2599,77.4126
2019-09-19 08:00:00,20.5,40.25,12.07,24.1,22.65,54.12,8.48,0.76,28.35,89.0,0.82,137.0,193.25,25.9,0.0,702.75,23.2599,77.4126
2019-09-19 09:00:00,25.25,41.25,12.35,22.92,22.2,52.78,8.65,0.83,37.65,79.0,0.95,128.75,460.25,28.47,0.0,703.0,23.2599,77.4126
2019-09-19 10:00:00,18.0,41.75,11.92,22.35,21.57,50.65,9.22,0.8,46.0,72.25,1.1,146.75,486.5,30.15,0.0,703.0,23.2599,77.4126
2019-09-19 11:00:00,20.0,42.0,10.77,20.6,19.75,48.93,9.1,0.76,50.05,65.0,1.2,156.25,507.25,31.55,0.0,702.25,23.2599,77.4126
2019-09-19 12:00:00,17.75,43.25,10.98,21.33,20.25,44.85,8.9,0.78,50.4,61.75,1.12,136.0,468.0,32.05,0.0,701.5,23.2599,77.4126
2019-09-19 13:00:00,19.25,40.0,10.32,24.0,21.17,42.08,8.8,0.89,50.25,60.5,1.15,141.75,471.5,32.6,0.0,700.0,23.2599,77.4126
2019-09-19 14:00:00,16.0,45.5,9.52,22.23,19.55,41.3,8.65,0.86,48.58,61.5,1.17,144.25,464.0,32.12,0.0,700.0,23.2599,77.4126
2019-09-19 15:00:00,15.5,51.0,9.45,25.47,21.22,38.73,8.38,0.89,42.62,64.5,0.92,146.5,287.75,31.18,0.0,700.0,23.2599,77.4126
2019-09-19 16:00:00,22.67,70.5,10.35,30.6,24.7,36.5,8.2,1.03,40.12,66.5,0.72,126.5,324.0,31.45,0.0,700.0,23.2599,77.4126
2019-09-19 17:00:00,21.25,65.25,12.28,30.75,26.35,36.42,8.33,1.19,28.17,70.75,1.12,115.5,94.0,30.23,0.0,700.0,23.2599,77.4126
2019-09-19 18:00:00,20.25,68.25,21.35,40.65,38.97,28.02,8.35,1.88,14.47,79.75,0.97,137.75,26.5,27.9,0.0,700.0,23.2599,77.4126
2019-09-19 19:00:00,26.75,86.75,24.38,46.52,44.55,27.52,8.12,2.03,6.38,82.0,0.57,114.0,25.0,27.67,0.0,700.75,23.2599,77.4126
2019-09-19 20:00:00,36.75,93.25,30.22,50.38,51.4,26.55,8.68,2.45,4.05,86.75,0.97,133.25,26.75,27.2,0.12,701.0,23.2599,77.4126
2019-09-19 21:00:00,37.0,75.0,22.82,35.48,37.42,38.88,8.53,1.68,9.4,88.75,1.4,132.25,27.5,26.77,0.8,701.25,23.2599,77.4126
2019-09-19 22:00:00,18.25,28.33,11.5,20.92,20.5,49.75,8.05,1.08,26.23,90.5,1.02,133.75,28.0,25.0,0.2,702.0,23.2599,77.4126
2019-09-19 23:00:00,6.75,14.75,11.3,27.53,23.85,46.6,7.93,1.17,20.62,91.5,1.1,141.0,28.0,24.67,0.0,701.25,23.2599,77.4126
2019-09-20 00:00:00,6.0,19.75,9.85,23.88,20.73,49.55,7.47,0.49,24.28,92.5,0.78,139.5,27.75,24.65,0.0,700.0,23.2599,77.4126
2019-09-20 01:00:00,7.0,18.75,8.72,18.6,17.0,53.65,7.7,0.39,29.35,93.0,0.62,158.75,27.0,24.8,0.0,700.0,23.2599,77.4126
2019-09-20 02:00:00,10.75,20.25,8.48,16.6,15.75,55.23,7.6,0.41,31.6,93.0,0.67,154.5,28.75,24.95,0.0,700.0,23.2599,77.4126
2019-09-20 03:00:00,12.5,27.25,8.95,15.52,15.53,55.9,8.55,0.42,31.27,93.0,0.57,139.0,28.0,24.9,0.0,700.0,23.2599,77.4126
2019-09-20 04:00:00,11.0,27.25,8.55,15.15,15.0,56.7,8.5,0.44,34.4,92.75,0.68,128.0,26.5,24.8,0.0,700.0,23.2599,77.4126
2019-09-20 05:00:00,10.75,24.75,8.75,15.53,15.4,56.92,8.32,0.46,32.9,92.0,0.57,116.0,27.0,24.9,0.0,700.0,23.2599,77.4126
2019-09-20 06:00:00,12.0,25.0,10.05,17.93,17.73,55.85,7.57,0.56,29.38,92.0,0.6,161.75,28.25,24.95,0.0,700.5,23.2599,77.4126
2019-09-20 07:00:00,18.25,29.75,10.93,21.43,20.3,54.38,7.97,0.64,25.7,91.25,0.57,123.0,29.5,25.38,0.0,701.5,23.2599,77.4126
2019-09-20 08:00:00,21.75,38.75,13.15,27.12,25.1,51.83,8.35,0.9,21.1,89.5,0.53,140.75,178.5,26.0,0.0,702.0,23.2599,77.4126
2019-09-20 09:00:00,28.25,49.0,14.77,25.97,25.83,51.52,8.38,0.98,27.85,83.5,0.7,129.0,381.75,27.8,0.0,702.0,23.2599,77.4126
2019-09-20 10:00:00,21.5,47.5,13.88,26.65,25.45,50.98,7.85,1.05,32.33,80.0,0.7,154.25,345.75,28.62,0.0,702.0,23.2599,77.4126
2019-09-20 11:00:00,16.75,51.0,13.93,25.05,24.65,49.88,7.82,0.97,43.27,73.25,0.97,138.5,460.0,30.33,0.0,701.25,23.2599,77.4126
2019-09-20 12:00:00,14.75,48.75,10.75,21.4,20.12,49.05,8.82,0.75,55.77,67.0,1.3,159.5,491.0,31.27,0.0,700.5,23.2599,77.4126
2019-09-20 13:00:00,11.0,48.25,9.33,20.88,18.68,45.58,8.62,0.82,55.08,65.5,1.03,150.0,455.0,31.68,0.0,700.0,23.2599,77.4126
2019-09-20 14:00:00,10.75,40.5,7.7,20.9,17.38,34.32,8.95,0.78,63.37,60.0,1.1,152.5,467.75,32.83,0.0,700.0,23.2599,77.4126
2019-09-20 15:00:00,9.75,42.0,6.5,21.23,16.6,22.15,6.65,0.72,55.55,58.75,1.0,142.0,426.0,33.33,0.0,700.0,23.2599,77.4126
2019-09-20 16:00:00,10.25,45.5,8.5,27.15,21.35,17.43,6.47,0.97,40.55,68.25,1.05,123.25,279.25,31.4,0.0,700.0,23.2599,77.4126
2019-09-20 17:00:00,15.25,58.75,10.05,32.75,25.6,18.65,6.0,1.2,29.73,75.5,0.87,132.25,109.0,30.12,0.0,700.0,23.2599,77.4126
2019-09-20 18:00:00,20.75,69.0,19.28,42.07,38.08,15.93,5.93,1.84,15.1,82.0,1.23,147.25,26.0,28.5,0.0,700.0,23.2599,77.4126
2019-09-20 19:00:00,25.75,75.5,24.85,46.53,44.95,16.77,6.3,1.94,8.25,86.5,0.65,113.0,26.75,27.4,0.0,700.0,23.2599,77.4126
2019-09-20 20:00:00,24.25,77.25,18.4,44.65,38.7,28.32,6.38,1.83,8.5,88.0,0.67,120.0,27.5,27.18,0.0,700.33,23.2599,77.4126
2019-09-20 21:00:00,21.25,74.0,15.35,36.92,32.1,36.0,6.15,1.51,14.35,88.0,0.75,117.0,26.75,27.12,0.0,701.0,23.2599,77.4126
2019-09-20 22:00:00,20.0,61.25,14.38,33.7,29.62,41.73,6.17,1.68,12.12,89.0,0.57,193.75,28.0,26.85,0.0,701.0,23.2599,77.4126
2019-09-20 23:00:00,22.25,55.0,11.4,28.4,24.38,47.22,5.2,1.17,13.72,90.75,0.55,149.5,27.0,26.62,0.0,701.0,23.2599,77.4126
2019-09-21 00:00:00,18.75,41.0,10.12,23.02,20.47,51.67,5.47,0.64,17.55,91.0,0.4,185.25,25.75,26.43,0.0,701.0,23.2599,77.4126
2019-09-21 01:00:00,13.75,32.5,9.5,18.25,17.4,55.08,5.12,0.53,35.4,89.0,0.67,221.5,25.0,25.85,0.0,700.0,23.2599,77.4126
2019-09-21 02:00:00,9.25,26.0,9.72,18.58,17.8,56.12,5.5,0.56,27.93,90.0,0.43,131.5,25.75,25.73,0.0,700.0,23.2599,77.4126
2019-09-21 03:00:00,6.75,30.75,10.32,20.07,19.05,56.23,5.97,0.57,21.12,91.5,0.5,42.0,24.75,25.38,0.0,700.0,23.2599,77.4126
2019-09-21 04:00:00,6.25,34.25,10.1,18.12,17.88,58.65,5.58,0.61,18.4,92.75,0.38,128.5,24.5,25.1,0.0,700.0,23.2599,77.4126
2019-09-21 05:00:00,7.5,30.25,10.97,18.67,18.85,59.68,5.97,0.73,17.67,93.0,0.55,136.5,27.25,25.15,0.0,700.0,23.2599,77.4126
2019-09-21 06:00:00,9.75,33.25,11.83,19.45,19.95,59.43,5.75,0.81,16.95,93.0,0.52,143.25,32.0,25.18,0.0,700.0,23.2599,77.4126
2019-09-21 07:00:00,11.75,33.0,13.3,21.68,22.33,56.4,6.08,0.83,18.85,90.0,0.7,139.25,198.5,26.2,0.0,700.5,23.2599,77.4126
2019-09-21 08:00:00,11.5,39.5,13.55,18.7,20.98,57.55,6.27,0.94,32.73,80.5,1.08,148.5,396.0,28.6,0.0,701.0,23.2599,77.4126
2019-09-21 09:00:00,13.25,41.5,13.07,19.23,20.83,53.9,8.57,0.96,38.75,72.5,1.1,145.0,438.25,30.25,0.0,701.0,23.2599,77.4126
2019-09-21 10:00:00,14.0,43.75,12.18,20.98,21.08,50.35,10.62,1.04,51.2,64.0,1.0,149.0,455.0,31.8,0.0,700.5,23.2599,77.4126
2019-09-21 11:00:00,14.25,47.25,11.8,21.82,21.2,46.4,10.12,1.03,51.45,63.5,1.05,143.0,438.0,31.92,0.0,700.25,23.2599,77.4126
2019-09-21 12:00:00,15.5,51.5,10.62,20.55,19.57,45.05,9.08,1.02,53.0,71.0,1.2,157.0,327.75,30.3,0.12,700.0,23.2599,77.4126
2019-09-21 13:00:00,17.25,53.25,10.32,29.48,24.08,40.33,8.18,1.31,56.65,70.75,0.93,159.0,295.75,30.1,0.0,700.0,23.2599,77.4126
2019-09-21 14:00:00,17.25,56.5,12.25,31.12,26.55,38.97,8.17,1.45,49.9,75.5,0.75,235.5,234.5,28.75,0.0,700.0,23.2599,77.4126
2019-09-21 15:00:00,15.25,64.75,9.93,24.68,21.2,44.33,6.93,1.14,45.08,78.25,0.62,188.5,203.0,29.05,0.0,700.0,23.2599,77.4126
2019-09-21 16:00:00,17.25,75.5,10.88,29.43,24.48,42.9,7.1,1.44,35.02,80.5,0.5,219.0,130.0,28.78,0.0,700.0,23.2599,77.4126
2019-09-21 17:00:00,25.25,108.75,20.65,50.88,43.88,30.38,7.65,2.55,20.22,82.25,0.62,232.75,34.5,28.43,0.0,700.0,23.2599,77.4126
2019-09-21 18:00:00,39.25,127.25,23.03,63.12,52.33,26.38,8.62,2.75,8.12,85.75,0.55,135.0,27.25,27.88,0.0,700.0,23.2599,77.4126
2019-09-21 19:00:00,43.75,113.75,27.45,54.75,51.42,30.25,8.57,2.81,7.02,88.0,0.6,160.75,27.25,27.43,0.0,700.0,23.2599,77.4126
2019-09-21 20:00:00,50.25,125.5,37.88,58.2,61.75,25.4,8.05,3.36,4.42,86.25,0.9,188.0,25.75,27.35,0.0,700.0,23.2599,77.4126
2019-09-21 21:00:00,57.75,141.0,24.05,58.65,50.73,36.52,8.73,2.95,4.78,86.5,0.38,217.5,27.25,27.05,0.0,700.75,23.2599,77.4126
2019-09-21 22:00:00,40.25,99.0,22.63,53.67,46.95,40.9,8.12,2.6,6.67,88.25,0.43,284.75,25.25,26.77,0.0,701.0,23.2599,77.4126
2019-09-21 23:00:00,32.75,87.25,16.73,35.45,32.42,52.45,7.27,2.11,8.3,89.75,0.75,203.5,27.25,26.5,0.0,701.0,23.2599,77.4126
2019-09-22 00:00:00,20.75,62.75,11.3,17.8,18.65,58.95,5.82,0.39,36.58,90.75,1.5,175.0,27.0,24.75,0.75,700.75,23.2599,77.4126
2019-09-22 01:00:00,5.0,13.5,9.15,12.75,14.23,58.82,5.3,0.44,42.25,93.0,1.07,167.25,28.25,24.2,0.0,700.0,23.2599,77.4126
2019-09-22 02:00:00,4.25,11.0,9.32,14.3,15.18,57.05,4.17,0.43,42.28,93.0,0.92,158.5,29.5,24.02,0.15,700.0,23.2599,77.4126
2019-09-22 03:00:00,2.0,7.25,8.98,14.2,14.85,55.38,4.92,0.38,45.5,92.5,1.05,156.5,29.5,23.68,0.1,700.0,23.2599,77.4126
2019-09-22 04:00:00,5.0,7.75,8.4,16.75,15.7,54.15,5.2,0.57,38.0,93.0,0.75,133.0,29.25,23.67,0.05,700.0,23.2599,77.4126
2019-09-22 05:00:00,5.75,15.25,8.53,15.95,15.4,53.22,4.93,0.56,41.3,92.75,0.85,123.0,28.25,23.35,0.0,700.25,23.2599,77.4126
2019-09-22 06:00:00,7.0,11.75,8.15,13.95,14.05,51.73,4.08,0.55,49.15,92.5,1.18,132.5,27.75,23.68,0.0,701.0,23.2599,77.4126
2019-09-22 07:00:00,3.25,7.75,8.43,15.22,14.95,47.65,4.78,0.56,44.7,91.0,1.02,143.75,113.5,24.18,0.0,701.25,23.2599,77.4126
2019-09-22 08:00:00,1.0,7.5,8.78,16.1,15.7,46.85,5.4,0.62,45.98,85.0,0.95,147.25,302.75,25.77,0.0,702.0,23.2599,77.4126
2019-09-22 09:00:00,1.0,9.25,8.18,14.18,14.17,49.2,5.35,0.63,54.68,77.5,1.18,171.0,482.75,27.75,0.0,702.0,23.2599,77.4126
2019-09-22 10:00:00,1.5,10.25,7.57,12.78,12.97,48.73,5.35,0.63,60.47,69.5,1.33,170.25,494.0,29.6,0.0,702.0,23.2599,77.4126
2019-09-22 11:00:00,2.75,15.0,7.45,13.25,13.1,46.75,6.2,0.72,59.85,64.5,1.08,187.5,451.0,31.0,0.0,701.75,23.2599,77.4126
2019-09-22 12:00:00,2.25,28.0,7.78,15.45,14.55,43.83,6.35,0.82,56.4,63.0,1.02,201.75,403.25,31.12,0.0,701.0,23.2599,77.4126
2019-09-22 13:00:00,5.0,35.25,8.8,19.52,17.57,41.23,6.4,0.94,53.45,64.75,0.88,219.5,382.25,30.95,0.0,700.0,23.2599,77.4126
2019-09-22 14:00:00,10.75,46.25,8.55,20.0,17.57,41.8,5.57,0.98,50.23,65.5,0.8,223.5,396.75,30.75,0.0,700.0,23.2599,77.4126
2019-09-22 15:00:00,9.75,50.25,10.93,28.02,23.77,37.9,5.5,1.29,50.85,57.75,1.12,226.5,432.25,32.85,0.0,700.0,23.2599,77.4126
2019-09-22 16:00:00,9.75,78.0,12.25,30.08,25.93,34.97,6.4,1.45,53.4,62.75,1.35,201.5,345.75,31.1,0.0,700.0,23.2599,77.4126
2019-09-22 17:00:00,12.25,76.25,11.9,41.85,31.93,30.9,6.08,1.71,43.05,62.5,0.62,172.25,152.75,31.02,0.0,700.0,23.2599,77.4126
2019-09-22 18:00:00,15.75,72.5,15.58,57.27,43.12,25.08,6.6,2.23,15.93,73.0,0.38,143.25,26.75,28.72,0.0,700.0,23.2599,77.4126
2019-09-22 19:00:00,28.5,90.0,31.35,61.18,58.05,18.3,6.9,3.01,6.45,78.0,0.4,137.25,26.25,27.92,0.0,700.75,23.2599,77.4126
2019-09-22 20:00:00,40.25,124.0,38.0,57.13,61.2,21.2,7.68,2.96,7.85,81.75,0.85,126.25,25.25,27.75,0.0,701.5,23.2599,77.4126
2019-09-22 21:00:00,29.5,96.25,18.18,38.83,35.45,43.92,6.65,2.06,14.48,86.0,0.6,128.75,27.25,27.03,0.0,702.0,23.2599,77.4126
2019-09-22 22:00:00,13.25,55.75,14.22,35.85,30.65,48.38,6.9,1.8,11.83,89.0,0.53,163.0,25.75,26.45,0.0,702.0,23.2599,77.4126
2019-09-22 23:00:00,13.75,49.5,13.43,33.18,28.57,51.02,6.87,1.57,13.55,90.5,0.55,125.0,25.75,26.05,0.0,702.0,23.2599,77.4126
2019-09-23 00:00:00,12.25,46.75,10.93,24.28,21.77,56.2,5.1,0.45,20.8,91.5,0.53,132.25,24.25,25.55,0.0,702.0,23.2599,77.4126
2019-09-23 01:00:00,9.5,29.75,9.47,18.55,17.57,59.45,4.35,0.47,31.7,91.0,0.5,162.25,27.75,25.17,0.0,702.0,23.2599,77.4126
2019-09-23 02:00:00,7.25,17.0,9.45,15.78,16.08,60.2,4.65,0.41,34.6,91.0,0.5,158.25,27.25,25.05,0.0,701.25,23.2599,77.4126
2019-09-23 03:00:00,4.5,20.0,9.75,17.65,17.35,59.42,3.98,0.42,27.7,91.75,0.3,112.25,27.5,24.9,0.0,701.0,23.2599,77.4126
2019-09-23 04:00:00,4.5,28.0,9.92,19.35,18.38,59.2,4.42,0.47,25.65,91.75,0.55,154.5,27.75,24.9,0.0,701.0,23.2599,77.4126
2019-09-23 05:00:00,9.25,25.75,9.88,21.52,19.45,58.53,4.45,0.67,21.85,91.75,0.68,152.5,28.5,24.9,0.0,701.25,23.2599,77.4126
2019-09-23 06:00:00,9.25,30.0,10.97,21.05,20.1,57.5,4.55,0.69,22.38,91.75,0.65,159.5,32.0,25.0,0.0,702.0,23.2599,77.4126
2019-09-23 07:00:00,9.5,36.75,11.62,22.15,21.2,56.83,5.22,0.84,29.62,89.25,0.77,156.25,92.75,25.83,0.0,702.0,23.2599,77.4126
2019-09-23 08:00:00,17.25,41.5,12.35,21.27,21.4,56.03,9.3,0.86,36.33,82.75,0.75,158.75,257.25,27.57,0.0,702.75,23.2599,77.4126
2019-09-23 09:00:00,19.0,52.25,10.78,17.85,18.27,56.8,10.45,0.79,49.9,74.25,0.73,186.0,432.0,29.73,0.0,703.0,23.2599,77.4126
2019-09-23 10:00:00,18.75,60.25,10.55,18.3,18.33,53.57,7.93,0.85,52.33,65.5,0.98,162.25,476.0,31.92,0.0,703.0,23.2599,77.4126
2019-09-23 11:00:00,9.0,51.75,9.3,17.02,16.65,51.2,6.97,0.87,58.1,58.75,0.8,182.5,430.75,33.22,0.0,702.5,23.2599,77.4126
2019-09-23 12:00:00,8.75,41.5,9.15,20.05,18.15,46.05,5.15,0.91,50.7,71.25,1.17,227.5,224.0,28.4,0.35,702.0,23.2599,77.4126
2019-09-23 13:00:00,8.5,35.25,10.98,23.28,21.28,42.2,4.57,1.15,46.67,73.75,0.73,238.75,439.0,28.4,0.0,700.75,23.2599,77.4126
2019-09-23 14:00:00,10.25,26.0,11.82,24.9,22.85,41.3,4.12,1.28,40.77,74.5,0.9,215.0,375.25,28.77,0.0,700.0,23.2599,77.4126
2019-09-23 15:00:00,12.25,48.75,12.72,32.85,27.83,38.0,4.48,1.48,41.62,74.25,1.18,259.75,409.25,29.4,0.0,700.0,23.2599,77.4126
2019-09-23 16:00:00,16.5,74.5,13.93,33.0,28.85,35.67,4.83,1.58,35.45,76.25,1.43,207.0,187.0,28.35,0.0,700.0,23.2599,77.4126
2019-09-23 17:00:00,18.25,82.75,14.03,40.98,33.2,31.18,5.12,1.74,30.1,78.0,1.65,150.25,33.75,27.38,0.0,700.0,23.2599,77.4126
2019-09-23 18:00:00,17.5,78.25,15.23,41.1,34.25,30.7,4.05,1.89,23.45,81.25,1.43,128.0,28.5,26.57,0.0,701.0,23.2599,77.4126
2019-09-23 19:00:00,12.75,53.75,11.32,34.12,27.37,36.48,3.9,1.55,25.02,84.5,0.68,145.75,25.5,25.97,0.0,701.25,23.2599,77.4126
2019-09-23 20:00:00,12.0,44.75,10.3,37.12,28.1,38.2,4.25,1.68,22.95,85.75,0.95,162.5,26.25,25.73,0.0,702.25,23.2599,77.4126
2019-09-23 21:00:00,11.5,50.75,8.65,29.9,22.9,43.33,5.3,1.45,30.85,86.75,0.8,158.5,25.5,25.47,0.0,703.0,23.2599,77.4126
2019-09-23 22:00:00,11.5,35.5,8.75,34.25,25.33,42.93,4.12,1.72,19.18,88.75,0.62,141.5,28.75,25.15,0.0,703.0,23.2599,77.4126
2019-09-23 23:00:00,15.0,37.25,8.88,34.33,25.5,44.15,4.6,1.53,19.07,89.75,0.83,162.0,25.5,25.02,0.0,702.5,23.2599,77.4126
